Stage ID,Real Duration,Estimated Duration,Error,Error Percentage,Size,Error/AppDuration
48,372814,389434,16620,0.04457987092759392,36.99596106540412,0.0019500873843308953
240,292875,261406,31469,0.10744857020913359,36.99596106540412,0.0036923766484662423
178,132177,133547,1370,0.010364889504225394,36.99596106540412,1.6074727536301604E-4
179,143019,118353,24666,0.1724665953474713,36.99596106540412,0.002894154959200112
180,395654,345122,50532,0.12771765229215426,36.99596106540412,0.00592911045156491
126,134215,129026,5189,0.03866184852661774,36.99596106540412,6.08844972159628E-4
63,140811,127476,13335,0.09470140827066068,36.99596106540412,0.0015646459247925686
127,140137,195164,55027,0.3926657485175221,36.99596106540412,0.006456525782044295
0,240780,227194,13586,0.05642495223855802,39.820336513221264,0.0015922389310036437
64,119125,170051,50926,0.42750052465897165,39.820336513221264,0.005968376254989811
128,368827,228096,140731,0.381563714153248,39.820336513221264,0.016493256072359325
65,371642,285583,86059,0.2315642473132746,39.820336513221264,0.01008585972053898
3,98806,79167,19639,0.1987632330020444,39.820336513221264,0.0023016325898704963
4,124611,133343,8732,0.0700740705074191,39.820336513221264,0.0010233645182926407
5,183913,197793,13880,0.0754704670142948,39.820336513221264,0.0016266948595856452
6,136339,133291,3048,0.022356038991044384,39.820336513221264,3.5721656570728E-4
7,478189,185067,293122,0.6129835692581803,39.820336513221264,0.03435302958439939
8,118884,133859,14975,0.12596312371723697,39.820336513221264,0.0017550256139982016
9,507155,102714,404441,0.7974702014177125,39.820336513221264,0.04739928643412665
270,54464,40531,13933,0.25582035840188017,39.820336513221264,0.001632906302493285
207,145642,138560,7082,0.04862608313535931,39.820336513221264,8.299894089038573E-4
208,111192,-47819,159011,1.4300579178358155,39.820336513221264,0.018635617890315058
209,304205,361733,57528,0.18910931772982034,39.820336513221264,0.006742111086616931
18,131672,135817,4145,0.03147973752961905,39.820336513221264,4.857817141918227E-4
82,125997,145551,19554,0.15519417128979263,39.820336513221264,0.002291670841811074
19,121371,133588,12217,0.10065831211739212,39.820336513221264,0.0014317961887289502
83,126982,157204,30222,0.238002236537462,39.820336513221264,0.003541928821786554
20,370011,168769,201242,0.543881127858361,39.820336513221264,0.023584965917343978
84,391407,303337,88070,0.2250087504822346,39.820336513221264,0.010321542959921309
151,130557,139094,8537,0.06538906378057094,39.820336513221264,0.0010005110962739664
152,129525,131940,2415,0.018645049218297627,39.820336513221264,2.830308419235831E-4
153,345084,243560,101524,0.29420083226113064,39.820336513221264,0.01189831188217385
31,134509,128942,5567,0.041387565144339784,39.820336513221264,6.524358993741561E-4
32,134432,157508,23076,0.17165555820042847,39.820336513221264,0.0027044388025791316
33,384137,433288,49151,0.12795174638215012,39.820336513221264,0.005760351516101877
103,130860,143694,12834,0.09807427785419533,39.820336513221264,0.0015041067599367557
104,110776,163522,52746,0.47615006860691844,39.820336513221264,0.006181674860497438
105,407426,398424,9002,0.02209480985504116,39.820336513221264,0.0010550077180108053
46,136354,138773,2419,0.01774058700148144,39.820336513221264,2.834996300675559E-4
238,153270,143900,9370,0.06113394663012984,39.820336513221264,0.0010981362272563036
47,114185,154531,40346,0.3533388798879012,39.820336513221264,0.004728431614181732
239,102592,115715,13123,0.1279144572676232,39.820336513221264,0.0015379767033387912
48,392946,418242,25296,0.06437525766899269,39.820336513221264,0.0029646162224840405
240,322283,274533,47750,0.1481617088087178,39.820336513221264,0.0055961584686754
178,132648,144182,11534,0.08695193293528737,39.820336513221264,0.001351750613145593
179,102301,127153,24852,0.2429301766356145,39.820336513221264,0.0029125807385030587
180,350102,370680,20578,0.058777156371571715,39.820336513221264,0.0024116806066681127
126,128167,138680,10513,0.08202579447127575,39.820336513221264,0.0012320924393965337
63,130110,137023,6913,0.053131965260164477,39.820336513221264,8.101831098210061E-4
127,126081,223055,96974,0.7691404731878713,39.820336513221264,0.011365065368404781
0,255154,243465,11689,0.045811549103678566,42.65019712224603,0.0011566153569705444
64,176049,182796,6747,0.03832455736755108,42.65019712224603,6.676091892788316E-4
128,397149,204907,192242,0.48405510274481367,42.65019712224603,0.019022161814931254
65,434503,281663,152840,0.35175821570852217,42.65019712224603,0.015123371645083242
3,99752,80186,19566,0.19614644317908414,42.65019712224603,0.0019360369641958828
4,144411,142805,1606,0.011121036486140252,42.65019712224603,1.5891216214344208E-4
5,205180,212041,6861,0.03343893166975339,42.65019712224603,6.788893801159128E-4
6,134835,141778,6943,0.051492564986835763,42.65019712224603,6.870032015952169E-4
7,569320,152999,416321,0.7312600997681444,42.65019712224603,0.04119456429372351
8,122979,141372,18393,0.14956212036201302,42.65019712224603,0.001819969737424863
9,517113,12419,504694,0.9759839725553215,42.65019712224603,0.04993898802043733
270,61175,42625,18550,0.30322844299141805,42.65019712224603,0.0018355047370864574
207,146108,148413,2305,0.01577600131409642,42.65019712224603,2.2807754280238727E-4
208,168123,-110969,279092,1.6600465135644735,42.65019712224603,0.02761588615002337
209,410774,387054,23720,0.05774464790858234,42.65019712224603,0.0023470712864523324
18,154506,145378,9128,0.05907861183384464,42.65019712224603,9.032068593059397E-4
82,133579,155885,22306,0.16698732585211748,42.65019712224603,0.0022071573404555535
19,194967,142651,52316,0.26833258961773016,42.65019712224603,0.005176618103795962
83,191482,168564,22918,0.11968749020795688,42.65019712224603,0.002267714154423042
20,409087,122083,287004,0.7015720372439115,42.65019712224603,0.028398770973733778
84,457146,292997,164149,0.35907346886990155,42.65019712224603,0.016242386365930183
151,157737,149007,8730,0.05534528994465471,42.65019712224603,8.638251404185861E-4
152,195975,141698,54277,0.2769587957647659,42.65019712224603,0.005370657176002245
153,406111,230258,175853,0.4330170815368212,42.65019712224603,0.017400485958537184
31,137552,135830,1722,0.012518901942538095,42.65019712224603,1.7039025106538433E-4
32,194984,168854,26130,0.13401099577401224,42.65019712224603,0.002585538478709926
33,446759,463315,16556,0.037058011142472785,42.65019712224603,0.001638200346479967
103,137155,153931,16776,0.12231417009952243,42.65019712224603,0.001659969135814685
104,164961,175858,10897,0.06605803796048763,42.65019712224603,0.0010782477153655594
105,427976,425810,2166,0.005061031459708021,42.65019712224603,2.1432362590454267E-4
46,139152,148891,9739,0.06998821432677935,42.65019712224603,9.636647242309977E-4
238,147347,154211,6864,0.04658391416180852,42.65019712224603,6.791862272432044E-4
47,194468,165885,28583,0.1469804800789847,42.65019712224603,0.002828260479792033
239,176738,122100,54638,0.309146872772126,42.65019712224603,0.005406377780319669
48,470425,447107,23318,0.04956794388053356,42.65019712224603,0.002307293771395257
240,375321,287685,87636,0.23349612731501834,42.65019712224603,0.008671498282442522
178,143377,154838,11461,0.07993611248666103,42.65019712224603,0.001134054975296382
179,158117,135971,22146,0.14006084102278693,42.65019712224603,0.0021913254936666675
180,415142,396287,18855,0.0454181942564231,42.65019712224603,0.001865684195027771
126,143107,148353,5246,0.03665788535850797,42.65019712224603,5.190866765905959E-4
63,125074,146588,21514,0.1720101699793722,42.65019712224603,0.0021287896988505684
127,182068,252906,70838,0.3890744117582442,42.65019712224603,0.007009352267694365
0,279002,259754,19248,0.06898875276879736,45.48316090647131,0.0019038136905450151
64,159772,195556,35784,0.2239691560473675,45.48316090647131,0.003539384304990795
128,426671,176042,250629,0.587405752910322,45.48316090647131,0.024789636401060192
65,454420,274313,180107,0.3963447911623608,45.48316090647131,0.017814327325591805
3,106243,80677,25566,0.24063703020434288,45.48316090647131,0.002528725104554959
4,152339,152277,62,4.069870486218237E-4,45.48316090647131,6.132400707283403E-6
5,229206,226304,2902,0.01266109962217394,45.48316090647131,2.870359169763941E-4
6,145017,150274,5257,0.03625092230566072,45.48316090647131,5.199682341643362E-4
7,457581,114622,342959,0.7495044593197707,45.48316090647131,0.033921967970471104
8,147106,148895,1789,0.01216129865539135,45.48316090647131,1.7694943331177432E-4
9,613362,-91654,705016,1.1494288853890524,45.48316090647131,0.06973291317816316
270,56320,44721,11599,0.20594815340909092,45.48316090647131,0.001147253480706132
207,148158,158277,10119,0.06829870813590896,45.48316090647131,0.0010008671412419477
208,161446,-190767,352213,2.1816149052934106,45.48316090647131,0.034837278230877566
209,409981,412402,2421,0.005905151702152051,45.48316090647131,2.3946035665053418E-4
18,139454,154949,15495,0.11111190786926155,45.48316090647131,0.001532605628376715
82,149698,166229,16531,0.11042899704738875,45.48316090647131,0.001635076066001644
19,168108,151723,16385,0.09746710448045304,45.48316090647131,0.00162063525143288
83,146290,179935,33645,0.22998837924670176,45.48316090647131,0.0033278164805895178
20,437499,67177,370322,0.8464522204622182,45.48316090647131,0.03662843378584846
84,440391,278076,162315,0.3685702023883322,45.48316090647131,0.016054526141979122
151,136146,158932,22786,0.16736444699073053,45.48316090647131,0.002253756169615478
152,166105,151467,14638,0.08812498118659884,45.48316090647131,0.001447840025051846
153,448077,212571,235506,0.5255926994690645,45.48316090647131,0.02329382517692718
31,148855,142725,6130,0.041181015081791006,45.48316090647131,6.063163925104397E-4
32,168125,180213,12088,0.07189888475836431,45.48316090647131,0.0011956203185426093
33,449249,493375,44126,0.09822169887968588,45.48316090647131,0.004364488929186894
103,153213,164179,10966,0.0715735609902554,45.48316090647131,0.001084643647678545
104,165432,188208,22776,0.1376759030900914,45.48316090647131,0.0022527670727272063
105,451340,453225,1885,0.004176452341915186,45.48316090647131,1.8644476343918087E-4
46,138859,159020,20161,0.1451904449837605,45.48316090647131,0.0019941182364442045
238,149357,164534,15177,0.10161559217177635,45.48316090647131,0.0015011523473296808
47,160613,177253,16640,0.10360307073524559,45.48316090647131,0.0016458572220838035
239,163494,128492,35002,0.21408736712050594,45.48316090647131,0.003462036928327962
48,491219,476003,15216,0.03097600052115248,45.48316090647131,0.0015050098251939397
240,359782,300852,58930,0.16379363058741125,45.48316090647131,0.005828747962584048
178,150290,165505,15215,0.1012376072925677,45.48316090647131,0.0015049109155051124
179,138058,144798,6740,0.0488200611337264,45.48316090647131,6.666513026950022E-4
180,391604,421922,30318,0.0774200467819532,45.48316090647131,0.002998743945861584
126,146994,158037,11043,0.07512551532715621,45.48316090647131,0.0010922596937182358
